state/ut,PC,candidate_name,party,evm_votes,postal_votes,migrant_votes,total_votes,percent_votes,rank
Uttar Pradesh,Chandauli,Mahendra Pratap Singh,Al-Hind Party,1127,0,,1127,0.1,13
Uttar Pradesh,Chandauli,Byasmuni,Kanshiram Bahujan Dal,829,9,,838,0.08,14
Uttar Pradesh,Deoria,RAMAPATI RAM TRIPATHI,Bharatiya Janata Party,577617,3027,,580644,57.19,1
Uttar Pradesh,Deoria,BINOD KUMAR JAISWAL,Bahujan Samaj Party,327728,2985,,330713,32.57,2
Uttar Pradesh,Deoria,NIYAZ AHMED,Indian National Congress,50749,307,,51056,5.03,3
Uttar Pradesh,Deoria,NOTA,None of the Above,13358,63,,13421,1.32,4
Uttar Pradesh,Deoria,ISRAR AHAMAD,Bharatiya Aavaam Ekta Party,8158,6,,8164,0.8,5
Uttar Pradesh,Deoria,RAMASHISH RAI,Independent,7866,36,,7902,0.78,6
Uttar Pradesh,Deoria,BRIJENDRA MANI TRIPATHI,Independent,5702,0,,5702,0.56,7
Uttar Pradesh,Deoria,JITENDRA,Suheldev Bharatiya Samaj Party,4867,1,,4868,0.48,8
Uttar Pradesh,Deoria,MANOJ KUMAR MISHRA,Manuvadi Party,3957,5,,3962,0.39,9
Uttar Pradesh,Deoria,CHANDAN KUMAR YADAV,Rashtriya Ulama Council,3299,6,,3305,0.33,10
Uttar Pradesh,Deoria,BIRJA,Peace Party,3209,0,,3209,0.32,11
Uttar Pradesh,Deoria,ONKAR SINGH,Samajwadi Samaj Party,2386,31,,2417,0.24,12
Uttar Pradesh,Dhaurahra,REKHA VERMA,Bharatiya Janata Party,512582,323,,512905,48.21,1
Uttar Pradesh,Dhaurahra,ARSHAD ILIYAS SIDDIQUI,Bahujan Samaj Party,352093,201,,352294,33.12,2
Uttar Pradesh,Dhaurahra,KUNWAR JITIN PRASADA,Indian National Congress,162727,129,,162856,15.31,3
Uttar Pradesh,Dhaurahra,NOTA,None of the Above,10792,6,,10798,1.02,4
Uttar Pradesh,Dhaurahra,ANIL KUMAR ' RAJVANSHI',Bahujan Awam Party,9287,1,,9288,0.87,5
Uttar Pradesh,Dhaurahra,REETU VERMA 'DIDI',Independent,4688,1,,4689,0.44,6
Uttar Pradesh,Dhaurahra,MALKHAN SINGH RAJPOOT,Pragatishil Samajwadi Party (Lohia),4288,0,,4288,0.4,7
Uttar Pradesh,Dhaurahra,MUKESH KUMAR,Shivsena,3556,0,,3556,0.33,8
Uttar Pradesh,Dhaurahra,BALJEET KAUR,Hindusthan Nirman Dal,3165,1,,3166,0.3,9
Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,492145,108,,492253,49.96,1
Uttar Pradesh,Domariyaganj,AFTAB ALAM,Bahujan Samaj Party,386901,31,,386932,39.27,2
Uttar Pradesh,Domariyaganj,CHANDRASH ALIAS CHANDRESH KUMAR UPADHYAY,Indian National Congress,60538,11,,60549,6.15,3
Uttar Pradesh,Domariyaganj,NOTA,None of the Above,11754,3,,11757,1.19,4
Uttar Pradesh,Domariyaganj,ARJUN SINGH LODHI,Bahujan Mukti Party,8265,0,,8265,0.84,5
Uttar Pradesh,Domariyaganj,MOHAMMAD IRFAN,Peace Party,5765,0,,5765,0.59,6
Uttar Pradesh,Domariyaganj,SANJAY KUMAR CHAUHAN,Nagrik Ekta Party,5029,1,,5030,0.51,7
Uttar Pradesh,Domariyaganj,BRIJESH KUMAR,Janhit Kisan Party,4097,0,,4097,0.42,8
Uttar Pradesh,Domariyaganj,KESHAV RAJBHAR,Suheldev Bharatiya Samaj Party,3809,0,,3809,0.39,9
Uttar Pradesh,Domariyaganj,SHARWAN KUMAR,Independent,3746,0,,3746,0.38,10
Uttar Pradesh,Domariyaganj,KESHARI NANDAN,Sabka Dal United,3066,0,,3066,0.31,11
Uttar Pradesh,Etah,Rajveer Singh (Raju Bhaiya),Bharatiya Janata Party,544267,1081,,545348,54.56,1
Uttar Pradesh,Etah,Ku. Devendra Singh Yadav,Samajwadi Party,422054,624,,422678,42.28,2
Uttar Pradesh,Etah,Hari Om,Independent,6337,2,,6339,0.63,3
Uttar Pradesh,Etah,NOTA,None of the Above,6264,13,,6277,0.63,4
Uttar Pradesh,Etah,Suraj Singh,Jan Adhikar Party,5121,5,,5126,0.51,5
Uttar Pradesh,Etah,Atar Singh,Rashtriya Shoshit Samaj Party,5104,6,,5110,0.51,6
Uttar Pradesh,Etah,Parvati Nandan,Independent,1858,0,,1858,0.19,7
Uttar Pradesh,Etah,Satendra Kumar Panda,Independent,1577,0,,1577,0.16,8
Uttar Pradesh,Etah,Rashmi Yadav,Pragatishil Samajwadi Party (Lohia),1459,11,,1470,0.15,9
Uttar Pradesh,Etah,Anuj Kumar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),834,4,,838,0.08,10
Uttar Pradesh,Etah,Indrapal,Independent,711,1,,712,0.07,11
Uttar Pradesh,Etah,Bharat Singh,Rashtriya Kranti Party,665,1,,666,0.07,12
Uttar Pradesh,Etah,Anand Prakash Singh Rajput,Rashtriya Backward Party,582,2,,584,0.06,13
Uttar Pradesh,Etah,Ashok Kumar,Independent,540,2,,542,0.05,14
Uttar Pradesh,Etah,Naresh Chandra,Bhartiya Shakti Chetna Party,480,2,,482,0.05,15
Uttar Pradesh,Etawah,Dr RAM SHANKAR KATHERIA,Bharatiya Janata Party,519674,2445,,522119,50.8,1
Uttar Pradesh,Etawah,KAMLESH KUMAR,Samajwadi Party,455957,1725,,457682,44.53,2
Uttar Pradesh,Etawah,ASHOK KUMAR DOHARE,Indian National Congress,16460,110,,16570,1.61,3
Uttar Pradesh,Etawah,SHAMBHU DAYAL DOHARE,Pragatishil Samajwadi Party (Lohia),8657,18,,8675,0.84,4
Uttar Pradesh,Etawah,NOTA,None of the Above,5580,30,,5610,0.55,5
Uttar Pradesh,Etawah,AKSHASH KRISHNA,Pichhra Samaj Party,4064,9,,4073,0.4,6
Uttar Pradesh,Etawah,SANJAY KUMAR,Independent,2857,1,,2858,0.28,7
Uttar Pradesh,Etawah,POOJA,Independent,2504,4,,2508,0.24,8
Uttar Pradesh,Etawah,DALVEER SINGH,Independent,2111,1,,2112,0.21,9
Uttar Pradesh,Etawah,ARTI DEVI,Mahasankalp Janta Party,1481,12,,1493,0.15,10
Uttar Pradesh,Etawah,LALTA PRASAD,Voters Party  International,1265,1,,1266,0.12,11
Uttar Pradesh,Etawah,SITA,Bhartiya Shakti Chetna Party,1153,1,,1154,0.11,12
Uttar Pradesh,Etawah,AJAY KUMAR,Bhartiya Jan Nayak Party,850,5,,855,0.08,13
Uttar Pradesh,Etawah,ARUN KUMAR,Jan Samman party,837,3,,840,0.08,14
Uttar Pradesh,Faizabad,LALLU SINGH,Bharatiya Janata Party,528113,908,,529021,48.66,1
Uttar Pradesh,Faizabad,ANAND SEN,Samajwadi Party,463187,357,,463544,42.64,2
Uttar Pradesh,Faizabad,NIRMAL KHATRI,Indian National Congress,53322,64,,53386,4.91,3
Uttar Pradesh,Faizabad,NOTA,None of the Above,9381,7,,9388,0.86,4
Uttar Pradesh,Faizabad,RAJBAHADUR URF RAJAN PANDEY,Independent,7345,2,,7347,0.68,5
Uttar Pradesh,Faizabad,ASHA DEVI,Lok Dal,6669,5,,6674,0.61,6
Uttar Pradesh,Faizabad,LAL MANI TRIPATHI (BHAI SAHAB),Independent,3301,1,,3302,0.3,7
Uttar Pradesh,Faizabad,KANCHAN YADAV,Moulik Adhikar Party,2762,6,,2768,0.25,8
Uttar Pradesh,Faizabad,KAMLESH TIWARI,Independent,2739,0,,2739,0.25,9
Uttar Pradesh,Faizabad,SHARAD KUMAR,Independent,2492,0,,2492,0.23,10
Uttar Pradesh,Faizabad,VIJAY SHANKAR PANDEY,Lok Gathbandhan Party,2055,1,,2056,0.19,11
Uttar Pradesh,Faizabad,MANOJ KUMAR MISHRA,Independent,1821,1,,1822,0.17,12
Uttar Pradesh,Faizabad,SHER AFGAN,Bharat Prabhat Party,1336,1,,1337,0.12,13
Uttar Pradesh,Faizabad,MAHESH TIWARI,Shivsena,1243,2,,1245,0.11,14
Uttar Pradesh,Farrukhabad,Mukesh Rajput,Bharatiya Janata Party,567930,1950,,569880,56.82,1
Uttar Pradesh,Farrukhabad,Manoj Agarwal,Bahujan Samaj Party,347714,464,,348178,34.72,2
Uttar Pradesh,Farrukhabad,Salman Khurshid,Indian National Congress,55143,115,,55258,5.51,3
Uttar Pradesh,Farrukhabad,Uday pal Singh,Pragatishil Samajwadi Party (Lohia),9671,30,,9701,0.97,4
Uttar Pradesh,Farrukhabad,NOTA,None of the Above,7426,11,,7437,0.74,5
Uttar Pradesh,Farrukhabad,Sanjay Kumar,Independent,3963,0,,3963,0.4,6
Uttar Pradesh,Farrukhabad,Rahul Kumar,Independent,3661,1,,3662,0.37,7
Uttar Pradesh,Farrukhabad,Luxman,Shivsena,1887,6,,1893,0.19,8
